City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Geraldton,AU,2022-06-20 02:55:26,-28.7667,114.6,64.81,72,0,10.36
1,Punta Arenas,CL,2022-06-20 03:00:09,-53.15,-70.9167,35.11,80,31,14.63
2,Mataura,NZ,2022-06-20 03:00:09,-46.1927,168.8643,46.47,83,87,0.98
3,San Jose,US,2022-06-20 02:58:24,37.3394,-121.895,75.88,43,0,13.8
4,Hilo,US,2022-06-20 03:00:09,19.7297,-155.09,82.27,87,12,5.99
5,Port Alfred,ZA,2022-06-20 03:00:10,-33.5906,26.891,57.88,75,79,4.47
6,Atuona,PF,2022-06-20 03:00:11,-9.8,-139.0333,77.92,77,32,17.18
7,Upernavik,GL,2022-06-20 03:00:12,72.7868,-56.1549,32.74,90,23,13.18
8,Gemena,CD,2022-06-20 03:00:12,3.25,19.7667,66.97,99,93,1.32
9,Chokurdakh,RU,2022-06-20 03:00:13,70.6333,147.9167,39.69,78,100,20.62
10,Ushuaia,AR,2022-06-20 03:00:13,-54.8,-68.3,30.49,97,100,5.03
11,Busselton,AU,2022-06-20 03:00:14,-33.65,115.3333,63.81,76,78,11.5
12,Kodiak,US,2022-06-20 03:00:15,57.79,-152.4072,49.48,79,100,7.38
13,Maniitsoq,GL,2022-06-20 03:00:15,65.4167,-52.9,41.16,86,100,4.12
14,Bilibino,RU,2022-06-20 03:00:16,68.0546,166.4372,61.83,50,96,6.76
15,Lebu,CL,2022-06-20 03:00:17,-37.6167,-73.65,51.13,95,100,10.65
16,Albany,US,2022-06-20 02:58:30,42.6001,-73.9662,59.41,58,2,4.0
17,Pyu,MM,2022-06-20 03:00:17,18.4833,96.4333,80.28,85,95,5.79
18,Tuktoyaktuk,CA,2022-06-20 03:00:18,69.4541,-133.0374,34.18,92,59,11.07
19,Quelimane,MZ,2022-06-20 03:00:18,-17.8786,36.8883,63.95,84,37,1.88
20,Pisco,PE,2022-06-20 03:00:19,-13.7,-76.2167,58.01,89,0,4.18
21,Dikson,RU,2022-06-20 03:00:20,73.5069,80.5464,36.91,92,100,11.56
22,Cidreira,BR,2022-06-20 02:56:48,-30.1811,-50.2056,51.58,83,0,5.21
23,Villazon,BO,2022-06-20 03:00:20,-22.0866,-65.5942,32.02,13,0,0.51
24,Lompoc,US,2022-06-20 03:00:20,34.6391,-120.4579,68.14,73,0,35.01
25,Puerto Ayora,EC,2022-06-20 03:00:21,-0.7393,-90.3518,70.56,96,95,1.99
26,Tautira,PF,2022-06-20 03:00:21,-17.7333,-149.15,78.3,75,38,20.11
27,Vaini,TO,2022-06-20 03:00:22,-21.2,-175.2,77.47,90,100,18.41
28,Aklavik,CA,2022-06-20 02:58:53,68.2191,-135.0107,46.31,67,82,14.97
29,Naze,JP,2022-06-20 03:00:22,28.3667,129.4833,77.92,81,99,11.56
30,Windhoek,NA,2022-06-20 03:00:23,-22.5594,17.0832,37.45,94,7,5.93
31,Yeniseysk,RU,2022-06-20 03:00:23,58.4497,92.1703,68.45,69,99,2.24
32,Barrow,US,2022-06-20 03:00:24,71.2906,-156.7887,50.02,76,100,9.22
33,Torbay,CA,2022-06-20 03:00:24,47.6666,-52.7314,56.75,91,50,8.99
34,Seondha,IN,2022-06-20 03:00:24,26.1578,78.7797,87.17,53,1,6.62
35,Topeka,US,2022-06-20 02:59:00,39.0483,-95.678,84.07,72,0,3.0
36,Nerchinskiy Zavod,RU,2022-06-20 03:00:25,51.3088,119.61,63.37,94,100,12.03
37,Carnarvon,AU,2022-06-20 02:55:29,-24.8667,113.6333,68.58,62,0,15.12
38,Goderich,CA,2022-06-20 02:58:57,43.7501,-81.7165,59.32,58,100,4.61
39,Dingle,PH,2022-06-20 02:58:41,10.9995,122.6711,86.68,67,100,2.73
40,Sao Joao Da Barra,BR,2022-06-20 03:00:26,-21.6403,-41.0511,68.56,74,82,4.54
41,Lasa,IT,2022-06-20 03:00:26,46.6166,10.7002,61.7,90,4,3.4
42,Hasaki,JP,2022-06-20 02:58:58,35.7333,140.8333,86.29,82,100,10.47
43,Guerrero Negro,MX,2022-06-20 02:55:27,27.9769,-114.0611,64.58,76,0,18.01
44,Cape Town,ZA,2022-06-20 03:00:27,-33.9258,18.4232,59.38,72,5,8.99
45,Katsuura,JP,2022-06-20 03:00:27,35.1333,140.3,75.43,85,100,18.41
46,Salalah,OM,2022-06-20 03:00:28,17.0151,54.0924,80.29,89,100,10.18
47,Codrington,AU,2022-06-20 03:01:28,-38.2667,141.9667,51.73,83,100,22.12
48,Lavrentiya,RU,2022-06-20 03:01:29,65.5833,-171.0,55.6,51,50,14.45
49,Esperance,AU,2022-06-20 03:01:29,-33.8667,121.9,56.86,78,97,12.48
50,Kodinsk,RU,2022-06-20 03:01:30,58.6881,99.1844,62.19,90,100,6.42
51,Havre-Saint-Pierre,CA,2022-06-20 03:01:30,50.2334,-63.5986,44.96,93,100,19.57
52,Poros,GR,2022-06-20 03:01:30,37.4994,23.4536,74.86,61,6,12.77
53,Rikitea,PF,2022-06-20 03:01:31,-23.1203,-134.9692,71.51,63,89,20.56
54,Nabire,ID,2022-06-20 03:01:31,-3.3667,135.4833,79.3,83,98,2.8
55,Przhevalskoye,RU,2022-06-20 03:01:32,55.5093,31.8482,51.51,98,100,3.11
56,Nikolskoye,RU,2022-06-20 02:58:12,59.7035,30.7861,54.79,77,14,7.92
57,Dauriya,RU,2022-06-20 03:01:32,49.9333,116.8667,64.08,82,95,10.74
58,Saint-Philippe,RE,2022-06-20 03:01:33,-21.3585,55.7679,65.79,77,74,15.17
59,Bluff,NZ,2022-06-20 03:01:33,-46.6,168.3333,46.8,69,79,6.89
60,Novyy Urengoy,RU,2022-06-20 03:01:34,66.0833,76.6333,71.44,37,72,11.68
61,Bud,US,2022-06-20 03:01:34,39.447,-86.1758,69.82,64,5,6.08
62,Cobija,BO,2022-06-20 03:01:34,-11.0267,-68.7692,70.32,88,16,0.74
63,Port Elizabeth,ZA,2022-06-20 02:59:22,-33.918,25.5701,51.31,93,0,5.75
64,Hermanus,ZA,2022-06-20 03:01:35,-34.4187,19.2345,51.75,84,0,11.81
65,Los Palacios,CU,2022-06-20 03:01:35,22.5872,-83.2486,74.77,83,74,6.44
66,Port-Cartier,CA,2022-06-20 03:01:36,50.0334,-66.8654,45.75,86,100,11.88
67,Jamestown,US,2022-06-20 03:01:36,42.097,-79.2353,58.64,69,0,4.61
68,Hualmay,PE,2022-06-20 03:01:36,-11.0964,-77.6139,61.72,83,11,12.93
69,Qaanaaq,GL,2022-06-20 03:01:37,77.484,-69.3632,33.93,86,41,5.77
70,Yumen,CN,2022-06-20 02:59:55,40.2833,97.2,76.91,21,100,15.75
71,Arraial Do Cabo,BR,2022-06-20 03:01:37,-22.9661,-42.0278,68.63,73,33,9.73
72,Tiksi,RU,2022-06-20 03:01:38,71.6872,128.8694,36.19,67,98,13.49
73,Aksu,CN,2022-06-20 02:58:13,41.1231,80.2644,75.63,27,100,3.85
74,Iwanai,JP,2022-06-20 03:01:38,42.9744,140.5089,67.17,68,35,7.85
75,New Norfolk,AU,2022-06-20 02:58:02,-42.7826,147.0587,56.91,81,95,1.99
76,Talnakh,RU,2022-06-20 02:58:12,69.4865,88.3972,69.21,32,100,7.92
77,Georgetown,MY,2022-06-20 03:00:18,5.4112,100.3354,85.93,79,20,4.61
78,Waddan,LY,2022-06-20 03:01:39,29.1614,16.139,79.29,27,6,8.63
79,Kapaa,US,2022-06-20 03:01:40,22.0752,-159.319,78.48,82,21,4.0
80,Yellowknife,CA,2022-06-20 03:01:40,62.456,-114.3525,71.56,19,3,13.0
81,Saint George,US,2022-06-20 02:59:02,37.1041,-113.5841,70.88,12,0,6.8
82,Jiuquan,CN,2022-06-20 03:01:41,39.7432,98.5174,68.07,51,100,12.44
83,Faanui,PF,2022-06-20 03:01:41,-16.4833,-151.75,79.52,76,29,20.54
84,Henties Bay,NA,2022-06-20 03:01:41,-22.116,14.2845,52.83,89,1,5.84
85,Khatanga,RU,2022-06-20 03:01:42,71.9667,102.5,53.8,41,100,6.58
86,Cayenne,GF,2022-06-20 03:01:42,4.9333,-52.3333,79.09,1,20,0.0
87,Minot,US,2022-06-20 03:01:42,48.2325,-101.2963,70.59,87,0,14.99
88,Potam,MX,2022-06-20 03:01:43,27.6,-110.3833,86.18,57,50,6.22
89,Pelotas,BR,2022-06-20 03:01:43,-31.7719,-52.3425,43.72,78,0,3.15
90,Serik,TR,2022-06-20 03:01:44,36.9169,31.0989,73.65,68,0,0.51
91,Kruisfontein,ZA,2022-06-20 03:02:44,-34.0033,24.7314,47.68,86,92,5.44
92,Hobart,AU,2022-06-20 03:00:19,-42.8794,147.3294,57.25,75,75,6.91
93,Alto Longa,BR,2022-06-20 03:02:44,-5.2511,-42.2103,79.21,64,100,3.15
94,Zhangjiakou,CN,2022-06-20 03:00:22,40.81,114.8794,85.44,41,91,2.42
95,Waingapu,ID,2022-06-20 02:59:30,-9.6567,120.2641,85.32,56,12,15.17
96,Maraa,BR,2022-06-20 03:02:45,-1.8333,-65.3667,73.08,92,100,3.2
97,Kavieng,PG,2022-06-20 03:02:45,-2.5744,150.7967,82.72,72,14,5.14
98,Ilulissat,GL,2022-06-20 03:02:46,69.2167,-51.1,35.62,93,75,6.91
99,Avarua,CK,2022-06-20 03:01:26,-21.2078,-159.775,78.85,73,40,13.8
100,Castro,BR,2022-06-20 03:02:47,-24.7911,-50.0119,49.42,93,80,0.63
101,Te Anau,NZ,2022-06-20 03:02:47,-45.4167,167.7167,45.88,85,42,2.66
102,Dubbo,AU,2022-06-20 03:02:47,-32.25,148.6167,62.73,59,6,10.36
103,Vao,NC,2022-06-20 03:02:48,-22.6667,167.4833,70.7,58,11,17.38
104,Broome,US,2022-06-20 03:02:48,42.2506,-75.833,52.02,86,2,1.01
105,Coquimbo,CL,2022-06-20 02:58:15,-29.9533,-71.3436,51.53,87,75,4.61
106,Slavonice,CZ,2022-06-20 03:02:49,48.9975,15.3515,64.33,84,89,2.33
107,Northam,GB,2022-06-20 03:02:49,51.0333,-4.2167,56.61,85,100,12.35
108,Coihaique,CL,2022-06-20 03:02:49,-45.5752,-72.0662,29.3,96,19,6.26
109,Airai,TL,2022-06-20 03:02:50,-8.9266,125.4092,70.83,44,86,3.18
110,Vila Velha,BR,2022-06-20 03:00:32,-20.3297,-40.2925,67.95,95,90,8.63
111,Ulladulla,AU,2022-06-20 03:01:21,-35.35,150.4667,61.77,58,100,2.57
112,Fortuna,US,2022-06-20 03:02:43,40.5982,-124.1573,59.34,79,100,7.0
113,Minsk,BY,2022-06-20 03:00:09,53.9,27.5667,56.95,85,19,9.06
114,Casper,US,2022-06-20 02:59:09,42.8666,-106.3131,68.72,45,40,3.0
115,Mount Gambier,AU,2022-06-20 03:02:51,-37.8333,140.7667,51.71,93,100,18.41
116,Ponta Do Sol,PT,2022-06-20 03:02:51,32.6667,-17.1,67.12,71,91,8.66
117,Mar Del Plata,AR,2022-06-20 02:59:28,-38.0023,-57.5575,45.09,88,75,1.99
118,Portland,US,2022-06-20 03:01:39,45.5234,-122.6762,64.38,77,100,3.44
119,Jinchang,CN,2022-06-20 03:02:52,38.4953,102.1739,73.83,37,100,7.87
120,Bengkulu,ID,2022-06-20 03:02:52,-3.8004,102.2655,79.25,85,74,9.15
121,Puerto Leguizamo,CO,2022-06-20 03:02:53,-0.1934,-74.7819,70.81,99,93,0.85
122,Los Llanos De Aridane,ES,2022-06-20 02:59:29,28.6585,-17.9182,67.75,92,75,11.5
123,Mujiayingzi,CN,2022-06-20 03:02:53,42.1167,118.7833,90.63,35,86,15.23
124,Rosario Oeste,BR,2022-06-20 03:02:54,-14.8361,-56.4275,71.47,73,0,0.69
125,Lerwick,GB,2022-06-20 03:02:54,60.1545,-1.1494,48.2,89,49,11.83
126,Bredasdorp,ZA,2022-06-20 03:02:54,-34.5322,20.0403,48.0,87,0,3.15
127,Falun,SE,2022-06-20 03:02:55,60.6036,15.626,54.21,81,97,2.8
128,Del Rio,US,2022-06-20 03:02:55,29.3627,-100.8968,91.51,32,0,8.05
129,Albury,AU,2022-06-20 03:00:06,-36.0833,146.9167,63.32,100,15,5.01
130,Hami,CN,2022-06-20 03:02:56,42.8,93.45,87.46,14,100,5.88
131,Oriximina,BR,2022-06-20 03:02:56,-1.7656,-55.8661,75.78,83,96,3.78
132,Golden,US,2022-06-20 03:02:56,39.7555,-105.2211,77.63,37,81,5.01
133,Batagay,RU,2022-06-20 03:02:57,67.6333,134.6333,49.48,50,56,14.52
134,Sovetskaya Gavan,RU,2022-06-20 03:02:57,48.9723,140.2878,55.0,84,98,9.15
135,Saskylakh,RU,2022-06-20 03:02:57,71.9167,114.0833,50.2,43,16,5.64
136,Pacific Grove,US,2022-06-20 03:02:58,36.6177,-121.9166,64.81,76,0,6.91
137,Butaritari,KI,2022-06-20 03:02:58,3.0707,172.7902,83.01,72,99,15.05
138,Odweyne,SO,2022-06-20 03:03:59,9.4092,45.064,69.93,57,25,18.05
139,Clyde River,CA,2022-06-20 03:03:59,70.4692,-68.5914,30.42,90,21,10.8
140,Caninde De Sao Francisco,BR,2022-06-20 03:03:59,-9.66,-37.7894,68.68,99,36,4.05
141,Solnechnyy,RU,2022-06-20 03:04:00,50.7214,136.6319,61.21,76,99,5.08
142,Iqaluit,CA,2022-06-20 03:04:00,63.7506,-68.5145,45.7,52,47,15.01
143,Jiazi,CN,2022-06-20 03:04:00,22.8779,116.067,83.64,81,100,15.73
144,Miranda,CO,2022-06-20 03:04:01,3.2499,-76.2281,69.93,94,77,4.47
145,Ancud,CL,2022-06-20 03:03:26,-41.8697,-73.8203,43.23,89,100,7.61
146,Chuy,UY,2022-06-20 03:04:01,-33.6971,-53.4616,43.66,75,7,5.84
147,Rock Springs,US,2022-06-20 02:59:36,41.5875,-109.2029,60.04,49,29,7.0
148,Santa Maria,BR,2022-06-20 03:01:13,-29.6842,-53.8069,45.84,92,2,2.93
149,Acarau,BR,2022-06-20 03:04:02,-2.8856,-40.12,76.98,87,0,9.89
150,Tornio,FI,2022-06-20 03:04:02,65.8481,24.1466,48.22,73,7,7.02
151,Santa Marta De Tormes,ES,2022-06-20 03:04:03,40.9506,-5.6272,55.42,88,19,2.3
152,Walvis Bay,NA,2022-06-20 02:59:36,-22.9575,14.5053,54.55,94,3,6.91
153,Muscat,OM,2022-06-20 03:04:03,23.6139,58.5922,95.02,57,3,2.19
154,Dolakovo,RU,2022-06-20 03:04:04,43.235,44.5917,62.46,88,1,4.47
155,Kenai,US,2022-06-20 02:59:24,60.5544,-151.2583,62.02,80,100,5.57
156,Aras,ES,2022-06-20 03:04:04,42.5617,-2.356,63.01,68,0,5.75
157,Narsaq,GL,2022-06-20 03:03:12,60.9167,-46.05,46.62,97,100,2.06
158,Pishin,PK,2022-06-20 03:04:05,30.5803,66.9961,77.16,22,0,3.85
159,Kiunga,PG,2022-06-20 03:04:05,-6.1219,141.2906,83.7,67,100,3.22
160,Vostok,RU,2022-06-20 03:04:05,46.4856,135.8833,66.31,62,55,4.72
161,Saldanha,ZA,2022-06-20 03:04:06,-33.0117,17.9442,53.13,76,2,12.91
162,Faro,PT,2022-06-20 03:04:06,37.0194,-7.9322,64.18,77,0,8.05
163,Pevek,RU,2022-06-20 03:04:07,69.7008,170.3133,47.34,60,47,11.05
164,Boa Vista,BR,2022-06-20 03:04:07,2.8197,-60.6733,73.38,88,100,6.91
165,Victoria,HK,2022-06-20 03:00:41,22.2855,114.1577,87.85,81,100,18.01
166,Baruun-Urt,MN,2022-06-20 03:04:08,46.6806,113.2792,67.51,45,78,19.15
167,Rock Hill,US,2022-06-20 03:02:41,34.9249,-81.0251,67.95,65,0,0.0
168,Romanu,RO,2022-06-20 03:04:08,45.2833,27.7333,60.78,77,0,5.41
169,Norman Wells,CA,2022-06-20 03:04:08,65.282,-126.8329,63.93,79,93,7.16
170,Kaitangata,NZ,2022-06-20 03:00:35,-46.2817,169.8464,47.73,80,87,1.77
171,Conceicao Do Araguaia,BR,2022-06-20 03:04:09,-8.2578,-49.2647,73.58,49,12,2.59
172,Marmaris,TR,2022-06-20 03:04:09,36.855,28.2742,71.11,80,0,2.21
173,Tecoanapa,MX,2022-06-20 03:04:10,16.5167,-98.75,75.87,91,100,8.7
174,East London,ZA,2022-06-20 03:04:10,-33.0153,27.9116,61.83,61,100,3.96
175,Andijon,UZ,2022-06-20 03:04:10,40.7821,72.3442,79.88,33,100,6.58
176,Moyo,UG,2022-06-20 03:04:11,3.6609,31.7247,60.82,96,100,1.77
177,Isilkul,RU,2022-06-20 03:04:11,54.9109,71.2728,72.07,62,64,8.05
178,Jacqueville,CI,2022-06-20 03:04:11,5.2052,-4.4146,78.46,80,95,9.62
179,Cakovec,HR,2022-06-20 03:04:12,46.3844,16.4339,61.02,46,6,4.47
180,Komsomolskiy,UZ,2022-06-20 03:04:12,40.4272,71.7189,79.52,29,100,2.3
181,Shimoda,JP,2022-06-20 03:04:13,34.6667,138.95,75.16,89,100,10.36
182,Haines Junction,CA,2022-06-20 03:04:13,60.7522,-137.5108,57.65,43,38,8.25
183,Arlit,NE,2022-06-20 03:04:13,18.7369,7.3853,89.19,24,6,4.79
184,Alofi,NU,2022-06-20 03:05:14,-19.0595,-169.9187,80.49,80,75,5.75
185,Saint-Georges,GD,2022-06-20 03:01:25,12.0564,-61.7485,79.23,78,12,17.0
186,Nelson Bay,AU,2022-06-20 03:05:15,-32.7167,152.15,64.0,84,100,1.99
187,Labuhan,ID,2022-06-20 03:05:15,-6.8844,112.2051,83.62,71,43,2.98
188,Manaure,CO,2022-06-20 03:05:15,11.7751,-72.4445,81.59,71,27,16.13
189,Puerto Carreno,CO,2022-06-20 03:05:16,6.189,-67.4859,73.44,93,100,5.3
190,Adre,TD,2022-06-20 03:05:16,13.4667,22.2,80.31,35,38,5.32
191,Veraval,IN,2022-06-20 03:05:16,20.9,70.3667,85.71,76,96,15.01
192,Mount Isa,AU,2022-06-20 03:05:17,-20.7333,139.5,74.97,25,100,8.05
193,Kahului,US,2022-06-20 03:03:08,20.8947,-156.47,84.22,51,20,27.63
194,Caravelas,BR,2022-06-20 03:05:17,-17.7125,-39.2481,70.41,82,1,4.79
195,Comodoro Rivadavia,AR,2022-06-20 03:05:18,-45.8667,-67.5,39.06,56,0,13.8
196,Bambous Virieux,MU,2022-06-20 03:05:18,-20.3428,57.7575,66.22,72,3,11.25
197,Sinnamary,GF,2022-06-20 03:05:18,5.3833,-52.95,77.5,85,100,4.83
198,Azul,AR,2022-06-20 03:05:19,-36.777,-59.8585,40.33,78,65,6.82
199,Kapit,MY,2022-06-20 03:05:19,2.0167,112.9333,80.51,81,85,2.19
